,piece,current_position,next_position,skip,reward
0,"(255, 0, 0)","(5, 2)","(4, 1)",-,0
1,"(255, 0, 0)","(4, 1)","(3, 2)",-,0
2,"(255, 0, 0)","(5, 0)","(4, 1)",-,0
3,"(255, 0, 0)","(6, 3)","(5, 2)",-,0
4,"(255, 0, 0)","(3, 2)","(2, 1)",-,0
5,"(255, 0, 0)","(5, 2)","(4, 3)",-,0
6,"(255, 0, 0)","(7, 2)","(6, 3)",-,0
7,"(255, 0, 0)","(6, 1)","(5, 0)",-,0
8,"(255, 0, 0)","(4, 1)","(2, 3)","[(255, 255, 255)]",40
9,"(255, 0, 0)","(2, 3)","(1, 4)",-,0
10,"(255, 0, 0)","(5, 0)","(4, 1)",-,0
11,"(255, 0, 0)","(7, 0)","(6, 1)",-,0
12,"(255, 0, 0)","(1, 4)","(0, 5)",-,4
13,"(255, 0, 0)","(6, 3)","(5, 2)",-,0
14,"(255, 0, 0)","(5, 6)","(4, 7)",-,0
15,"(255, 0, 0)","(4, 7)","(3, 6)",-,0
16,"(255, 0, 0)","(5, 4)","(4, 5)",-,0
17,"(255, 0, 0)","(7, 4)","(6, 3)",-,0
18,"(255, 0, 0)","(6, 5)","(4, 7)","[(255, 255, 255)]",40
19,"(255, 0, 0)","(4, 5)","(2, 3)","[(255, 255, 255)]",40
20,"(255, 0, 0)","(5, 2)","(1, 2)","[(255, 255, 255), (255, 255, 255)]",80
21,"(255, 0, 0)","(1, 2)","(0, 3)",-,4
22,"(255, 0, 0)","(6, 3)","(4, 5)","[(255, 255, 255)]",40
23,"(255, 0, 0)","(3, 6)","(2, 5)",-,0
24,"(255, 0, 0)","(4, 7)","(3, 6)",-,0
25,"(255, 0, 0)","(2, 3)","(1, 2)",-,0
26,"(255, 0, 0)","(0, 5)","(2, 3)","[(255, 255, 255)]",40
27,"(255, 0, 0)","(2, 5)","(1, 4)",-,0
28,"(255, 0, 0)","(1, 4)","(0, 5)",-,4
29,"(255, 0, 0)","(0, 3)","(1, 4)",-,0
30,"(255, 0, 0)","(2, 3)","(3, 4)",-,0
31,"(255, 0, 0)","(1, 2)","(0, 1)",-,4
32,"(255, 0, 0)","(3, 6)","(2, 5)",-,0
33,"(255, 0, 0)","(0, 1)","(1, 0)",-,0
34,"(255, 0, 0)","(7, 6)","(6, 5)",-,0
35,"(255, 0, 0)","(1, 4)","(2, 3)",-,0
36,"(255, 0, 0)","(2, 5)","(0, 7)","[(255, 255, 255)]",44
37,"(255, 0, 0)","(2, 3)","(3, 4)",-,0
38,"(255, 0, 0)","(0, 5)","(1, 6)",-,0
39,"(255, 0, 0)","(3, 4)","(4, 5)",-,0
40,"(255, 0, 0)","(1, 6)","(0, 5)",-,4
41,"(255, 0, 0)","(0, 7)","(1, 6)",-,0
42,"(255, 0, 0)","(1, 6)","(2, 5)",-,0
43,"(255, 0, 0)","(4, 5)","(3, 4)",-,0
44,"(255, 0, 0)","(2, 5)","(3, 6)",-,0
45,"(255, 0, 0)","(3, 6)","(4, 7)",-,0
46,"(255, 0, 0)","(3, 4)","(4, 3)",-,0
47,"(255, 0, 0)","(4, 3)","(5, 4)",-,0
48,"(255, 0, 0)","(1, 0)","(0, 1)",-,4
49,"(255, 0, 0)","(5, 4)","(6, 3)",-,0
50,"(255, 0, 0)","(0, 1)","(1, 2)",-,0
51,"(255, 0, 0)","(1, 2)","(0, 1)",-,4
52,"(255, 0, 0)","(6, 7)","(4, 5)","[(255, 255, 255)]",40
53,"(255, 0, 0)","(0, 1)","(1, 2)",-,0
54,"(255, 0, 0)","(4, 7)","(3, 6)",-,0
55,"(255, 0, 0)","(1, 2)","(0, 3)",-,4
56,"(255, 0, 0)","(0, 3)","(1, 4)",-,0
57,"(255, 0, 0)","(3, 6)","(2, 5)",-,0
58,"(255, 0, 0)","(2, 5)","(3, 4)",-,0
59,"(255, 0, 0)","(3, 4)","(2, 5)",-,0
60,"(255, 0, 0)","(4, 5)","(3, 4)",-,0
61,"(255, 0, 0)","(1, 4)","(0, 3)",-,4
62,"(255, 0, 0)","(3, 4)","(2, 3)",-,0
